Team,rating
Air Force,1300
American Int'l,1600
Army,1400
Bentley,1400
Canisius,1500
Holy Cross,1500
Mercyhurst,1400
Niagara,1600
RIT,1800
Robert Morris,1300
Sacred Heart,1500
Michigan,2000
Michigan State,1900
Minnesota,2000
Notre Dame,1800
Ohio State,1900
Penn State,2000
Wisconsin,1600
Augustana,1300
Bemidji State,1600
Bowling Green,1600
Ferris State,1600
Lake Superior,1300
Michigan Tech,1900
Minnesota State,1900
Northern Michigan,1700
St. Thomas,1400
Brown,1500
Clarkson,1700
Colgate,1700
Cornell,1900
Dartmouth,1300
Harvard,2000
Princeton,1500
Quinnipiac,2000
Rensselaer,1400
St. Lawrence,1600
Union,1500
Yale,1400
Boston College,1700
Boston University,2000
Maine,1700
Massachusetts,1700
Merrimack,1900
New Hampshire,1400
Northeastern,1800
Providence,1800
Connecticut,1800
Mass.-Lowell,1700
Vermont,1500
Arizona State,1600
Colorado College,1700
Denver,2000
Miami,1500
Minnesota-Duluth,1800
North Dakota,1800
Omaha,1800
St. Cloud State,2000
Western Michigan,1900
Alaska,1900
Alaska-Anchorage,1400
Lindenwood,1300
Long Island,1300
Stonehill,1300
