Team,Conference
Air Force,AH
American Int'l,AH
Army,AH
Bentley,AH
Canisius,AH
Holy Cross,AH
Mercyhurst,AH
Niagara,AH
RIT,AH
Robert Morris,AH
Sacred Heart,AH
Michigan,BT
Michigan State,BT
Minnesota,BT
Notre Dame,BT
Ohio State,BT
Penn State,BT
Wisconsin,BT
Augustana,CCHA
Bemidji State,CCHA
Bowling Green,CCHA
Ferris State,CCHA
Lake Superior,CCHA
Michigan Tech,CCHA
Minnesota State,CCHA
Northern Michigan,CCHA
St. Thomas,CCHA
Brown,ECAC
Clarkson,ECAC
Colgate,ECAC
Cornell,ECAC
Dartmouth,ECAC
Harvard,ECAC
Princeton,ECAC
Quinnipiac,ECAC
Rensselaer,ECAC
St. Lawrence,ECAC
Union,ECAC
Yale,ECAC
Boston College,HE
Boston University,HE
Maine,HE
Massachusetts,HE
Merrimack,HE
New Hampshire,HE
Northeastern,HE
Providence,HE
Connecticut,HE
Mass.-Lowell,HE
Vermont,HE
Arizona State,NCHC
Colorado College,NCHC
Denver,NCHC
Miami,NCHC
Minnesota-Duluth,NCHC
North Dakota,NCHC
Omaha,NCHC
St. Cloud State,NCHC
Western Michigan,NCHC
Alaska,Indep
Alaska-Anchorage,Indep
Lindenwood,Indep
Long Island,Indep
Stonehill,Indep
