"date","game_type","away_team","away_score","home_team","home_score","overtime","neutral_site","score_diff","outcome"
2023-10-07,"Non-Conference","Lake Superior",2,"Michigan State",5,FALSE,FALSE,3,1
2023-10-07,"Non-Conference","Mass.-Lowell",2,"Alaska-Anchorage",3,TRUE,FALSE,1,1
2023-10-07,"Non-Conference","Denver",7,"Alaska",3,FALSE,FALSE,-4,0
2023-10-07,"Non-Conference","Lindenwood",1,"Air Force",4,FALSE,FALSE,3,1
2023-10-07,"Non-Conference","Clarkson",3,"Notre Dame",1,FALSE,FALSE,-2,0
2023-10-07,"Non-Conference","St. Thomas",5,"St. Cloud State",4,TRUE,FALSE,-1,0
2023-10-07,"Non-Conference","RIT",3,"St. Lawrence",4,FALSE,FALSE,1,1
2023-10-07,"Non-Conference","Connecticut",4,"Colgate",2,FALSE,FALSE,-2,0
2023-10-07,"Non-Conference","American Int'l",3,"Massachusetts",5,FALSE,FALSE,2,1
2023-10-07,"Non-Conference","Ohio State",4,"Mercyhurst",3,FALSE,FALSE,-1,0
2023-10-07,"Non-Conference","Providence",4,"Michigan",2,FALSE,FALSE,-2,0
2023-10-07,"Non-Conference","Stonehill",0,"Northeastern",7,FALSE,FALSE,7,1
2023-10-07,"Non-Conference","Boston College",2,"Quinnipiac",1,TRUE,FALSE,-1,0
2023-10-07,"Non-Conference","Augustana",0,"Wisconsin",4,FALSE,FALSE,4,1
2023-10-07,"Non-Conference","Penn State",3,"Long Island",2,FALSE,FALSE,-1,0
2023-10-07,"Non-Conference","Bowling Green",3,"Robert Morris",0,FALSE,FALSE,-3,0
2023-10-07,"Non-Conference","Boston University",3,"Bentley",2,TRUE,FALSE,-1,0
2023-10-07,"Non-Conference","Miami",4,"Ferris State",5,TRUE,FALSE,1,1
2023-10-07,"Non-Conference","Michigan Tech",2,"Minnesota-Duluth",2,TRUE,FALSE,0,0.5
2023-10-08,"Non-Conference","Union",6,"Army",0,FALSE,FALSE,-6,0
2023-10-08,"Non-Conference","Connecticut",3,"Colgate",3,TRUE,FALSE,0,0.5
2023-10-08,"Non-Conference","Providence",4,"Michigan",5,FALSE,FALSE,1,1
2023-10-08,"Non-Conference","Lake Superior",2,"Michigan State",4,FALSE,FALSE,2,1
2023-10-08,"Non-Conference","St. Cloud State",1,"St. Thomas",0,FALSE,FALSE,-1,0
2023-10-08,"Non-Conference","Mass.-Lowell",2,"Alaska-Anchorage",1,FALSE,FALSE,-1,0
2023-10-08,"Non-Conference","Denver",5,"Alaska",2,FALSE,FALSE,-3,0
2023-10-08,"Non-Conference","Clarkson",0,"Notre Dame",3,FALSE,FALSE,3,1
2023-10-08,"Non-Conference","Augustana",0,"Wisconsin",3,FALSE,FALSE,3,1
2023-10-08,"Non-Conference","Lindenwood",4,"Air Force",3,TRUE,FALSE,-1,0
2023-10-08,"Non-Conference","Robert Morris",3,"Bowling Green",0,FALSE,FALSE,-3,0
2023-10-08,"Non-Conference","Miami",5,"Ferris State",2,FALSE,FALSE,-3,0
2023-10-08,"Non-Conference","Long Island",2,"Holy Cross",5,FALSE,FALSE,3,1
2023-10-12,"Non-Conference","Michigan State",5,"Air Force",6,FALSE,FALSE,1,1
2023-10-12,"Non-Conference","Ferris State",4,"Western Michigan",6,FALSE,FALSE,2,1
2023-10-12,"Non-Conference","Rensselaer",1,"Maine",4,FALSE,FALSE,3,1
2023-10-13,"Non-Conference","Michigan State",5,"Air Force",3,FALSE,FALSE,-2,0
2023-10-13,"Non-Conference","Penn State",4,"Clarkson",2,FALSE,FALSE,-2,0
2023-10-13,"Non-Conference","Union",3,"Colorado College",7,FALSE,FALSE,4,1
2023-10-13,"Non-Conference","Connecticut",1,"Holy Cross",2,FALSE,FALSE,1,1
2023-10-13,"Non-Conference","Rensselaer",3,"Maine",6,FALSE,FALSE,3,1
2023-10-13,"Non-Conference","Michigan",7,"Massachusetts",2,FALSE,FALSE,-5,0
2023-10-13,"Non-Conference","Stonehill",1,"Providence",7,FALSE,FALSE,6,1
2023-10-13,"Non-Conference","Colgate",3,"Sacred Heart",2,FALSE,FALSE,-1,0
2023-10-13,"Non-Conference","Vermont",3,"St. Lawrence",1,FALSE,FALSE,-2,0
2023-10-13,"Non-Conference","Merrimack",0,"Arizona State",1,TRUE,FALSE,1,1
2023-10-13,"Non-Conference","Long Island",2,"Boston College",4,FALSE,FALSE,2,1
2023-10-13,"Non-Conference","Army",2,"North Dakota",7,FALSE,FALSE,5,1
2023-10-13,"Non-Conference","Lindenwood",2,"Ohio State",4,FALSE,FALSE,2,1
2023-10-13,"Non-Conference","Wisconsin",4,"Bemidji State",3,TRUE,FALSE,-1,0
2023-10-13,"Non-Conference","Canisius",2,"Miami",4,FALSE,FALSE,2,1
2023-10-13,"Non-Conference","Quinnipiac",3,"American Int'l",2,TRUE,FALSE,-1,0
2023-10-13,"Non-Conference","Western Michigan",3,"Ferris State",3,TRUE,FALSE,0,0.5
2023-10-13,"Non-Conference","Alaska-Anchorage",1,"Lake Superior",5,FALSE,FALSE,4,1
2023-10-13,"Non-Conference","Alaska",4,"Michigan Tech",1,FALSE,FALSE,-3,0
2023-10-13,"Non-Conference","St. Cloud State",2,"Minnesota State",3,TRUE,FALSE,1,1
2023-10-13,"Non-Conference","Northern Michigan",5,"Minnesota-Duluth",5,TRUE,FALSE,0,0.5
2023-10-13,"Non-Conference","Niagara",1,"Omaha",8,FALSE,FALSE,7,1
2023-10-13,"Non-Conference","St. Thomas",5,"Minnesota",6,TRUE,TRUE,1,1
2023-10-13,"Hockey East","Boston University",4,"New Hampshire",6,FALSE,FALSE,2,1
2023-10-14,"Atlantic Hockey","Robert Morris",3,"Mercyhurst",3,TRUE,FALSE,0,0.5
2023-10-14,"Non-Conference","Long Island",7,"Stonehill",3,FALSE,FALSE,-4,0
